date,name,venueName,venueCity,rating
2022-08-21,DJ Boring,Audio,San Francisco,4.5
2022-10-01,Flume,The Brooklyn Mirage,New York,4.8
2023-03-22,Shygirl,Regency Ballroom,San Francisco,4.3
2023-04-06,Mall Grab,1015 Folsom,San Francisco,4.8
2023-04-14,The Blaze,1015 Folsom,San Francisco,4.4
2023-04-29,Boiler Room,The Midway,San Francisco,4.8
2023-08-11,WILLOW,Outside Lands,San Francisco,4.3
2023-08-11,Kendrick Lamar,Outside Lands,San Francisco,4.4
2023-08-19,Lana Del Rey,Outside Lands,San Francisco,4.9
2023-08-20,ODESZA,Outside Lands,San Francisco,4.5
2022-09-24,PinkPantheress,Portola,San Francisco,4.3
2022-09-24,Fred Again..,Portola,San Francisco,3.5
2022-09-24,Kaytranada,Portola,San Francisco,5.0
2022-09-24,Flume,Portola,San Francisco,5.0
2022-09-24,Bicep Live,Portola,San Francisco,4.9
2022-09-25,Yaeji,Portola,San Francisco,4.0
2022-09-25,Peggy Gou,Portola,San Francisco,4.2
2022-09-24,Toro y Moi,Portola,San Francisco,4.0
2022-09-25,Four Tet,Portola,San Francisco,4.5
2022-10-30,RL Grime,Second Sky,Oakland,3.9
2022-10-30,Skrillex,Second Sky,San Francisco,3.8
2022-04-01,Tyler the Creator,Oakland Arena,Oakland,4.7
2019-03-14,Troyboi,Phonox,London,4.6
2018-09-27,ZHU,Brooklyn Steel,New York,4.4
2018-11-16,San Holo,Terminal 5,New York,4.5
2019-11-23,Louis the Child,Terminal 5,New York,4.5
2019-12-21,NGHTMRE,Hammerstein Ballroom,New York,4.7
2020-02-19,Roddy Ricch,Terminal 5,New York,4.0
2020-03-07,Steve Aoki,The Brooklyn Mirage,New York,4.3
2021-08-14,Louis the Child,The Brooklyn Mirage,New York,4.0
2021-12-15,Japanese Breakfast,YouTube HQ,San Bruno,4.2
2022-01-24,Remi Wolf,Regency Ballroom,San Francisco,3.8
2022-02-26,Dorian Electra,August Hall,San Francisco,4.4
2023-07-15,Boiler Room,The Brooklyn Mirage,New York,4.8
2022-04-20,Lizzo,Shoreline Amphitheatre,Mountain View,4.0
2022-06-23,Halsey,Shoreline Amphitheatre,Mountain View,3.9
2022-04-24,Joji,Coachella,Indio,4.7
2022-04-23,Cuco,Coachella,Indio,4.4
2022-04-23,Tchami,Coachella,Indio,4.3
2022-04-23,Mindchatter,Coachella,Indio,4.7
2022-04-23,Flume,Coachella,Indio,4.5
2022-04-22,Still Woozy,Coachella,Indio,4.5
2022-04-22,Louis the Child,Coachella,Indio,4.5
2022-04-22,Peggy Gou,Coachella,Indio,4.3
2017-09-15,Migos,The Meadows,New York,3.7
2017-09-15,Jay-Z,The Meadows,New York,4.4
2023-03-10,Kush Jones,Public Records,New York,4.8
2019-03-01,Tiesto,Ziggo Dome,Amsterdam,4.4
2018-09-02,Illenium,Electric Zoo,New York,4.6
2018-10-03,88rising,Pier 17,New York,4.7
2018-09-02,Alesso,Electric Zoo,New York,4.3
2018-09-02,Tiesto,Electric Zoo,New York,4.3
